;Nazwa;Kategoria;zdjecie;Cena zawiera podatek. (brutto);Opis;Ilosc
101;  Szklana lampa wisząca Otis w kol. post. mosiądzu ;46;"https://lw-cdn.com/images/D1E474011F6E/k_1a9a850da3d3f60d6c53f8e32a8af7e7;w_353;h_353;q_70/szklana-lampa-wiszaca-otis-w-kol-post-mosiadzu.jpg"; 217,80zł ;Lampa wisząca Otis ze szkła, o klasycznym wyglądzie i z pięknymi detalami w kolorze postarzanego mosiądzu  Opalowobiały, lśniący klosz lampy wiszącej Otis zwęża się ku górze jak stożek. Tam też styka się z metalowymi detalami z wykończeniem w kolorze starego mosiądzu, przechodzącymi w atrakcyjne, łańcuchowe zawieszenie w klasycznym stylu. Ten piękny projekt będzie pasować do wnętrz o podobnym, tradycyjnym wystroju. Lampa emituje miękkie, przyjemne światło, odpowiednie nie tylko nad stół, ale też do korytarza czy sypialni.  Pobierz:   Instrukcja obsługi                    (435 KB) ;50
102;  Prosta, wąska lampa wisząca Vinsta ;46;"https://lw-cdn.com/images/CDE51B3841FA/k_5831306eeb3b50e724827bfbd59f488b;w_353;h_353;q_70/prosta-waska-lampa-wiszaca-vinsta.jpg"; 134,88zł ;Biała, szklana lampa wisząca Vinsta  Klosz tej lampy wiszącej, wykonany z opalowobiałego szkła, ma nowoczesny, cylindryczny kształt – prosty, lecz efektowny, dzięki czemu ten wszechstronny model będzie pasować do wielu wystrojów wnętrz. Lampa emituje przyjemne, równomiernie rozdzielane światło, które rozjaśni dowolne pomieszczenie, w jakim zostanie zawieszona. Montując jednocześnie kilka egzemplarzy lampy można uzyskać jeszcze jaśniejsze, piękne, stylowe oświetlenie, na przykład nad ladą barową.  Pobierz:   Instrukcja obsługi                    (274 KB) ;50
103;  Szklana lampa wisząca Sofian, 3-punktowa ;46;"https://lw-cdn.com/images/3EB446EA52A3/k_3046c6b2d2565e3c93bdd59aa967b40d;w_353;h_353;q_70/szklana-lampa-wiszaca-sofian-3-punktowa.jpg";434,88zł;Lampa wisząca Sofian z trzema okrągłymi szklanymi kloszami – idealna do jadalni  Sofian to lampa bardzo atrakcyjna wizualnie, nosząca znamiona ponadczasowości. Lampa wisząca składa się z trzech białych kloszy w kształcie kul, które są wykonane ze szkła. Dzięki temu mamy pewność, że otrzymamy miękkie, równomierne światło, które dobrze uzupełnia atmosferę przytulności i jest zawsze mile widziane, szczególnie w jadalni. Ta lampa wisząca Sofian o z racji swej 3-punktowej konstrukcji zapewnia równomierne rozchodzenie się światła i miłe dla oka doświetlenie całej powierzchni stołu. Kombinacja białego szkła i elementów metalowych o barwie satynowanego niklu pasuje do wielu przestrzeni mieszkalnych. Pobierz:   Instrukcja obsługi                    (264 KB) ;50
104;  Lampa wisząca American Diner srebrna satyna 1-pkt. ;46;"https://lw-cdn.com/images/927283EEA1EF/k_a7cf76e7a5bc92b05fd126f4e950d972;w_353;h_353;q_70/lampa-wiszaca-american-diner-srebrna-satyna-1-pkt.jpg";277,97zł;Lampa wisząca American Diner z kloszem z białego szkła opalowego  Stylowa lampa wisząca Amerian Diner jest idealna do jadalni lub stołu kuchennego. Składa się on z abażuru wykonanego z żebrowanego, białego szkła opalowego. Jest tu pięknie zaprojektowany z metalowymi elementami z satynowego srebra. Model lampy przypomina nieco epokę popularnego American Diner, który jest tu celowo wykorzystywany jako element stylistyczny. ;50
105;  Lampa wisząca LED Hayley 5-pkt. okrągła chrom ;46;"https://lw-cdn.com/images/A064D61AF70E/k_9d45b30ac2b5392a96592326f276a8c7;w_353;h_353;q_70/lampa-wiszaca-led-hayley-5-pkt-okragla-chrom.jpg"; 1087,72zł ;5-punktowa lampa wisząca LED z pięknie wyprofilowanymi kulami szklanymi i chromowanymi detalami  Szkło pięciu kul nie jest przezroczyste, ale ma w swojej strukturze dekoracyjne pęcherzyki, które nie tylko wyglądają ekstrawagancko, ale także przyczyniają się do efektownego oświetlenia. Na spodzie szklanych kul znajduje się również element ozdobny z błyszczącego chromu, który stylowo dopełnia całość wzornictwa. Światło wydostaje się bezpośrednio i pośrednio, jest miękkie i jednorodne od spodu dzięki białemu elementowi szklanemu, w związku z czym nie powoduje odblasków. Dzięki swojej konstrukcji lampa wisząca z wydajnymi diodami LED doskonale nadaje się do oświetlenia stołu w przestrzeni mieszkalnej.  Pobierz:   Instrukcja obsługi                    (609 KB) ;50
106;  Lampa wisząca LED Hayley, 5-pkt., podłużna, chrom ;46;"https://lw-cdn.com/images/E2FBB30BD60D/k_221fd3f2fff521f817449742e3aa75e9;w_353;h_353;q_70/lampa-wiszaca-led-hayley-5-pkt-podluzna-chrom.jpg"; 834,07zł ;Błyszcząca lampa wisząca LED Hayley do jadalni, szklane kule uszlachetnione chromowanymi detalami  Hayley to atrakcyjna Lampa wisząca LED z pięcioma kloszami z dmuchanego szkła, którą można łatwo zamontować nad stołem w jadalni. Podłużny kształt i pięć kloszy gwarantują wielkopowierzchniowe oświetlenie powierzchni stołu. Światło może być emitowane zarówno w górę, jak i w dół. Aby światło nie oślepiało świecąc w dół, w tym miejscu znajduje się biała szklana osłona. Ponadto klosze są wyposażone w dekoracyjne chromowane osłony, dzięki którym światło pięknie błyszczy i wygląda przez to szczególnie efektownie. Pobierz:   Instrukcja obsługi                    (394 KB) ;50
107;  Lindby Marla lampa wisząca ;46;"https://lw-cdn.com/images/B08A46D840A1/k_a2a03cf747794cb92681e227afb6f215;w_353;h_353;q_70/lindby-marla-lampa-wiszaca.jpg"; 834,07zł ;3-punktowa lampa wisząca Marla ze szklanymi kloszami  Trzy szklane klosze lampy wiszącej Marla są utrzymane w pięknym kolorze szarego dymu i mają różne kształty. Podłużny, pękaty lub raczej okrągły, każdy szklany klosz ma swój własny urok. Wspaniałe wzornictwo lampy wiszącej podkreśli zastosowanie dekoracyjnych żarówek filamentowych lub żarówek modernizowanych, które pięknie podkreślają raczej nostalgiczny charakter lampy Marla. Idealna do stosowania w jadalni lub salonie, gdzie lampa wisząca Marla wspaniale się sprawdzi jako oświetlenie stołu. Pobierz:   Instrukcja obsługi                    (390 KB) ;50
108;  Lampa wisząca Gama 3, 3-punktowa, czarna ;46;"https://lw-cdn.com/images/B8A6B8AD672C/k_957624e9d43c834f48857b11d7e8337f;w_353;h_353;q_70/lampa-wiszaca-gama-3-3-punktowa-czarna.jpg"; 235,69zł ;;50
109;  Lindby Avalyn lampa wisząca, kolorowa, czarna ;46;"https://lw-cdn.com/images/189B4AD0D49B/k_710ea2697cdf53745eb239839bc61965;w_353;h_353;q_70/lindby-avalyn-lampa-wiszaca-kolorowa-czarna.jpg";616,18zł;6-Punktowa lampa wisząca do jadalni z kulami w kolorze bursztynowym, szarego dymu i niebieskim  Dzięki podłużnemu kształtowi lampa wisząca Avalyn jest przeznaczona do użytku w jadalni nad stołem. Dzięki 6-punktowemu oświetleniu można zagwarantować dobre oświetlenie powierzchni stołu. Pod względem optycznym lampa jest szczególna i nie jest wcale codzienna, ponieważ jej czarną podstawę uzupełniają kolorowe szklane kule, które wyglądają trochę jak balony. Dwie kule w kolorze bursztynu, szarego dymu i niebieskozielonym, tworzą piękne, niezwykłe połączenie kolorystyczne, które wygląda bardzo stylowo. Zabarwienie czystego szkła ma również korzystny wpływ na obraz świetlny. Jeśli Avalyn jest używana jako jedyne światło w jadalni, emituje różnokolorowe plamki światła, które tworzą piękną atmosferę.  Pobierz:   Instrukcja obsługi                    (391 KB) ;50
110;  Lampa wisząca Dallas, chrom ;46;"https://lw-cdn.com/images/D5D49BEA3E4D/k_a42b95d7f0b83b397413137fcaa4cdbf;w_353;h_353;q_70/lampa-wiszaca-dallas-chrom.jpg";2029,19zł;Lampa wisząca Dallas z chromowanymi szklanymi kulami  25-punktowa lampa wisząca Dallas ma bajecznie piękny wygląd: podłużny klosz stanowią szklane kule w odcieniu chromu przymocowane do długiego metalowego pręta. Cała lampa sprawia bardzo nowoczesne, a jednocześnie uroczyste wrażenie – ze względu na swój odcień oświetlone szklane kule emitują wyjątkowo piękne światło.  To niezwykle atrakcyjne źródło oświetlenia obszarowego i ogólnego do nowoczesnej przestrzeni mieszkalnej, które nadaje każdemu pomieszczeniu ekskluzywny charakter. ;50
111;  Lampa wisząca Elio, 1-punktowa, niebieska ;46;"https://lw-cdn.com/images/6C62E7A2EAAE/k_1bcb26bf120c8bfad4cd7300d1324320;w_353;h_353;q_70/lampa-wiszaca-elio-1-punktowa-niebieska.jpg"; 141,38zł ;;50
112;  Szklana lampa wisząca Samu ;46;"https://lw-cdn.com/images/9410A4FEA0D0/k_9ab48287eb7a0ce37bef30c750a3a89f;w_353;h_353;q_70/szklana-lampa-wiszaca-samu.jpg";160,89zł;Klasycznie wyglądająca szklana lampa wisząca Samu z metalowym elementem w kolorze mosiądzu  Samu ma wygięty szklany klosz i doskonale nadaje się na lampę kuchenną, gdyż jej światło skierowane jest w większej części ku dołowi. Powierzchnia klosza jest biała i opatrzona satynowaniem, co sprawia, że światło rozchodzi się równomiernie. Sama zaś lampa wisząca u góry zakończona jest metalowym elementem o barwie starego mosiądzu. Element ten następnie przechodzi w zawieszenie. Żarówka jest tu dobrze widoczna, żarówki rustykalne z kolei doskonale komponują się ze stylem tego przedmiotu i podkreślają nostalgiczny charakter tej lampy wiszącej.  Pobierz:   Instrukcja obsługi                    (370 KB) ;50
113;  Lindby Tymoni szklana lampa wisząca bursztyn 1-pkt ;46;"https://lw-cdn.com/images/15A994BD4C54/k_63d54ced8e470e52f387fad5142c55a4;w_353;h_353;q_70/lindby-tymoni-szklana-lampa-wiszaca-bursztyn-1-pkt.jpg"; 183,66zł ;Lampa wisząca Tymoni ze szklanymi kulkami w kolorze bursztynu w modnym stylu vintage  Tymoni to bardzo atrakcyjna lampa do salonu, której klosz składa się z przezroczystej szklanej kuli z bursztynowym zabarwieniem. Obraz świetlny również korzysta z tej kolorystyki, ponieważ światło wydaje się naturalnie cieplejsze i bardziej zachęcające. Ogólny wygląd ma wyraźny, zabytkowy charakter, który bardzo dobrze pasuje do lampy wiszącej. Można ją umieścić nad stołem, ale również stanowi dobry akcent w innych miejscach w mieszkaniu.  Pobierz:   Instrukcja obsługi                    (304 KB) ;50
114;  Lampa wisząca Verona w kolorze białym i czarnym ;46;"https://lw-cdn.com/images/7495266F22A5/k_ea365948ca8bf92f13c36d066b074470;w_353;h_353;q_70/lampa-wiszaca-verona-w-kolorze-bialym-i-czarnym.jpg";326,75zł;Lampa zawieszenia Verona w klasycznym, skandynawskim stylu  Wisząca oprawa z Werony oferuje uderzający kontrast kolorystyczny z kolorami czarno-białymi, co również nadaje temu źródłu światła nowoczesny wygląd. Dwa opalowo-białe, wygięte elementy szklane o płaskich i wąskich kształtach tworzą cień, zaś czapka wykonana jest z metalu. Szkło opalowe rozprasza światło wychodzące na boki i do góry, dzięki czemu oprócz światła skierowanego w dół, powstaje harmonijne oświetlenie otoczenia. To sprawia, że Werona szczególnie nadaje się do oświetlania stołu. ;50
115;  Lampa wisząca opalowa LED Gunda w kolorze białym ;46;"https://lw-cdn.com/images/447886309437/k_062241308722de42f180cbaf3d62698c;w_353;h_353;q_70/lampa-wiszaca-opalowa-led-gunda-w-kolorze-bialym.jpg";652,76zł;Ponadczasowo piękna lampa wisząca LED Gunda z białym, opalizowanym szklanym kloszem, przyciemniana za pomocą przełącznika  Ze względu na ponadczasowy szklany klosz w białym kolorze Gunda pasuje do wielu pomieszczeń i stylów i jest lampą o bardzo harmonijnym uroku. Dzięki białej szklanej powierzchni światło jest miękkie i równomierne oraz tworzy przytulny klimat zapewniający dobre samopoczucie. Lampa wisząca zasilana żarówkami LED pięknie prezentuje się zwłaszcza nad stołem w jadalni, gdzie sprawia wrażenie estetycznej nowej interpretacji klasycznej okrągłej lampy kuchennej.   Żarówki LED wewnątrz szklanego klosza nie tylko świecą jasno, ale także zużywają bardzo mało energii elektrycznej i tym samym są efektywne energetycznie, co z pewnością przekonuje nie tylko nowoczesnych konsumentów. Dodatkowo zintegrowana jest specjalna technologia ściemniania, która umożliwia trzystopniową regulację natężenia światła bezpośrednio za pomocą zwykłego włącznika ściennego, dzięki czemu można dostosować jasność do różnych potrzeb, a z tą lampą wiszącą LED posiłek w stylu romantycznej kolacji przy świecach nie stanowi żadnego problemu.  Pobierz:   Instrukcja obsługi                    (978 KB) ;50
116;  Lindby Smart lampa wisząca LED RGB Rhona, app ;46;"https://lw-cdn.com/images/85C156B02F92/k_70770a121708016dbda817bb1aa7dc53;w_353;h_353;q_70/lindby-smart-lampa-wiszaca-led-rgb-rhona-app.jpg"; 305,61zł ;Sferyczna lampa wisząca Rhona z opalowego szkła z żarówką LED E27 RGB, ściemnialna i o zmiennej barwie światła  Sferyczne lampy wiszące ze szkła opalowego są w pewnym sensie evergreenami, ponieważ ich kształt jest tak ponadczasowy i nigdy nie wychodzi z mody. To samo dotyczy wyboru materiałów i kolorów. W pomieszczeniach mieszkalnych za pomocą takiej oprawy jak Rhona stworzysz bardzo stylowy wyraz, a jednocześnie możesz stworzyć światło o ciepłej przytulności. Ponieważ podstawową barwą światła lampy LED Rhona jest ciepła biel, wyraz ten jest doskonale podkreślony przez efekt świetlny.  Niektórzy mogą szeptać, że to jakoś zbyt nudne i że trzeba się odważyć na coś w kwestii oświetlenia. I oto jego szept jest słyszalny, ponieważ nawet jeśli oprawa wisząca LED może prezentować się jako bardzo dyskretny dawca światła, to potrafi również świecić kolorowymi barwami światła, ponieważ źródło światła LED posiada funkcję RGB. Funkcja zmiany kolorów jest sterowana za pomocą aplikacji Tuya (dostępnej dla systemów iOS i Android), która jest obsługiwana przez WiFi i umożliwia również przyciemnianie światła. Aplikacja jest kompatybilna z Google Home i Amazon Alexa, dzięki czemu może być sterowana za pomocą głosu. Pobierz:   Instrukcja obsługi                    (457 KB) ;50
117;  Lampa wisząca LED Hayley szklana kula 3-pkt. chrom ;46;"https://lw-cdn.com/images/77A3D10FFEBD/k_93833c2078de50a7b1626e7e954697f1;w_353;h_353;q_70/lampa-wiszaca-led-hayley-szklana-kula-3-pkt-chrom.jpg"; 815,37zł ;3-punktowa lampa wisząca LED Hayley z wyjątkowymi efektami świetlnymi i szklanymi kulistymi kloszami  Hayley to zasilana diodami LED, energooszczędna lampa wisząca LED z chromowanymi elementami dekoracyjnymi i trzema szklanymi kloszami o strukturze bąbelkowej, które tworzą niepowtarzalne efekty świetlne. Błyszczący chrom wygląda niezwykle szlachetnie, podobnie jak klosze z pęcherzykami powietrza. Dzięki temu Hayley jest lampą w stylu glamour, która w wersji 3-punktowej doskonale sprawdzi się nad stołem w jadalni. Światło wychodzi zarówno bezpośrednio, jak i pośrednio, a w miejscach ze światłem bezpośrednim znajduje się element białego szkła zapewniający miękkie rozprowadzanie światła, natomiast reszta szklanego klosza wyróżnia się atrakcyjnym szkłem bąbelkowym, które jest przezroczyste i gwarantuje wspaniały efekt.  Pobierz:   Instrukcja obsługi                    (562 KB) ;50
118;  Lampa wisząca 5975, kolorowy styl Tiffany ;46;"https://lw-cdn.com/images/E80B01D61F71/k_39e3bc06a279b92be7e20257bf601c55;w_353;h_353;q_70/lampa-wiszaca-5975-kolorowy-styl-tiffany.jpg"; 2645,45zł ;Lampa wisząca 5975 z efektownym szklanym kloszem w optyce Tiffany  Lampa wisząca 5975 jest wyposażona w cudownie zaprojektowany szklany klosz, który składa się głównie ze szklanych elementów w różnych odcieniach niebieskiego, na których uwijają się urocze ważki. Błękit jest złagodzony przez górną krawędź żółtych kawałków szkła i subtelne zielone detale. Gdy tylko zapali się światło, motyw zwierzęcy jeszcze lepiej się uwidacznia.  Rama jest również atrakcyjnie zaprojektowana z drążkiem do zawieszania na środku i dekoracyjnie zdobionymi linkami do zawieszania, które prowadzą od klosza do uchwytu sufitowego i utrzymują duży klosz w równowadze. ;50
119;  Lampa wisząca Cubus, 1-punktowa, grafit ;46;"https://lw-cdn.com/images/9B534BBFBB6F/k_821597a6775882892a9ae1fd67e17b9f;w_353;h_353;q_70/lampa-wiszaca-cubus-1-punktowa-grafit.jpg"; 141,38zł ;;50
120;  Lampa wisząca Nostalgia, 3-punktowa ;46;"https://lw-cdn.com/images/A3BAAB212474/k_b11ba2da9f2aa7e4a0dd5ed0eead2177;w_353;h_353;q_70/lampa-wiszaca-nostalgia-3-punktowa.jpg";508,05zł;Estetycznie zaprojektowana oprawa wisząca Nostalgia - 3 płomień  Dzięki swojemu geometrycznemu dotykowi, który tworzy zarówno liniowy kształt oprawy, jak i kulisty kształt szyby lampy, trzylampowa lampa wisząca Nostalgia natychmiast przyciąga wzrok w każdym pomieszczeniu, a to już nieoświetlone. Gdy tylko oprawa zostanie włączona, opalowo-białe okulary kuliste świecą w jasnym świetle.   Kolorystyka ramki w matowym złocie i czerni uderzająco kontrastuje z bielą odcieni szkła.  - Regulacja wysokości tylko podczas montażu ;50
121;  Lindby Philika szklana lampa wisząca, 4-punktowa ;46;"https://lw-cdn.com/images/568E995C5B7A/k_f9e7870797eda56c408b993c9f1aca38;w_353;h_353;q_70/lindby-philika-szklana-lampa-wiszaca-4-punktowa.jpg"; 457,64zł ;Czteropłomieniowa lampa wisząca do jadalni Philika z kulistymi kloszami z delikatnego szkła wędzonego  Philika przekonuje olśniewającym akcentem i czterema odcieniami szarości dymnej szkła sferycznego, które są absolutnie modne swoim wyglądem i przyczyniają się do uzyskania pięknego efektu świetlnego w pomieszczeniach mieszkalnych i jadalnych. Są one utrzymywane w miejscu przez drewnianą belkę o szlachetnym dębowym wyglądzie, która nadaje wiszącej lampie naturalny charakter. Te dwa materiały wraz z ich kolorystyką uzupełniają się, tworząc harmonijną całość o stylowym wyrazie. Dzięki podłużnemu kształtowi oprawa wisząca z gniazdami E27, którą można dowolnie montować - najlepiej ze stylowymi żarówkami LED - jest idealna do oświetlania stołu w jadalni. ;50
122;  Lampa wisząca LED Simeon do jadalni ;46;"https://lw-cdn.com/images/EA41924DBA25/k_49fa4f9659514f7fd6e56ba74f5d5f0e;w_353;h_353;q_70/lampa-wiszaca-led-simeon-do-jadalni.jpg"; 508,05zł ;Lampa wisząca LED w formie belki Simeon z regulacją wysokości i podstawą w kolorze mosiądzu, 4-punktowa  Lampa wisząca LED w formie belki Simeon idealnie nadaje się do oświetlania stołów w kuchni lub jadalni. Ta lampa wisząca ma bowiem podłużny kształt i jest 4-punktowa. Ponadto jej wysokość można wygodnie regulować za pomocą zintegrowanego mechanizmu linkowego.   Cztery szklane klosze równomiernie rozprowadzają światło i nadają mu przytulnego charakteru. Metalowa podstawa z wykończeniem z mosiądzu podkreśla klasyczną stylistykę lampy wiszącej LED w formie belki.     Pobierz:   Instrukcja obsługi                    (218 KB) ;50
123;  Lucande Tessi szklana lampa wisząca ;46;"https://lw-cdn.com/images/E09E2D3D9B2E/k_14d9308cd40dc5042cc6070172647dbe;w_353;h_353;q_70/lucande-tessi-szklana-lampa-wiszaca.jpg"; 170,65zł ;Prosta elegancja - lampa wisząca Tessi ze szklanym kloszem  Lampa wisząca Tessi ma bardzo prosty i dość purystyczny wygląd. Niemniej jednak emanuje ona niezaprzeczalną elegancją, którą uzyskano głównie poprzez zastosowanie pękatego klosza. Jest on wykonany z białego satynowanego szkła i jest stylowo uzupełniony zawieszeniem i rozetą sufitową z satynowanego niklu. Światło jest bardzo miękkie i raczej rozproszone przez satynowane szkło, dzięki czemu powstaje wystarczająco jasny, ale jednocześnie przyjemny nastrój świetlny. Tak wyposażona lampa wisząca Tessi bardzo dobrze nadaje się do oświetlenia nowoczesnych salonów lub jadalni, na przykład jako stylowe oświetlenie stołu.  ;50
124;  Okrągła lampa wisząca-latarnia RIEKA, 25 cm ;46;"https://lw-cdn.com/images/927B7298D7FA/k_f1d8ad0304975f1ebe4fac53239528ca;w_353;h_353;q_70/okragla-lampa-wiszaca-latarnia-rieka-25-cm.jpg"; 993,41zł ;Lampa wisząca RIEKA w formie okrągłej latarni, śr. 25 cm  Piękna latarnia RIEKA prezentuje się niezwykle stylowo i elegancko. Jest wykonana z brązowego metalu oraz przezroczystego szkła. Doskonale pasować będzie do gustownych wnętrz, w których dzięki trzem żarówkom w kształcie świeczek zapewni nastrojowe, przytulne oświetlenie otoczenia. Całkowita wysokość lampy RIEKA wynosi 120 cm. Odpowiednia długość łańcuchów może być dostosowana podczas montażu.   ;50
125;  Lindby Nicus drewniana lampa wisząca, 1-punktowa ;46;"https://lw-cdn.com/images/B2923E9CEDCB/k_3276542274cc9d1306577be471e81b60;w_353;h_353;q_70/lindby-nicus-drewniana-lampa-wiszaca-1-punktowa.jpg"; 134,88zł ;Biała szklana lampa wisząca Nicus w kształcie cylindrycznym z atrakcyjnym drewnianym dekorem z jasnego dębu  Nicus jest wspaniałym elementem oświetleniowym dla różnych mieszkań, zapewniającym jednocześnie przytulność. Smukły, cylindryczny klosz został wykonany ze szkła, a jego górne zakończenie przechodzące w zawieszenie wykonano z drewnianego elementu z w kolorze jasnego dębu. Efektem jest atrakcyjny wygląd, który również pięknie uzupełnia styl wiejskiego domu lub pasuje do skandynawskich stylu urządzenia wnętrz.  Pobierz:   Instrukcja obsługi                    (484 KB) ;50
126;  Lampa wisząca Hour, chrom, z opalowym szkłem ;46;"https://lw-cdn.com/images/A94E20106D3E/k_82934f00b795dcc658441c60cab2df84;w_353;h_353;q_70/lampa-wiszaca-hour-chrom-z-opalowym-szklem.jpg"; 377,15zł ;;50
127;  Lindby Kordelia lampa wisząca, regulacja wysokości ;46;"https://lw-cdn.com/images/16E056ED8A2B/k_8ab13f159dc4a881fb43ed8c7c0a1a76;w_353;h_353;q_70/lindby-kordelia-lampa-wiszaca-regulacja-wysokosci.jpg"; 305,61zł ;Elegancka lampa wisząca Kordelia z obrotowymi ramionami  Lampa wisząca Kordelia to sprytne rozwiązanie oświetleniowe do stołu w salonie lub jadalni. Eleganckie klosze są klasycznie ułożone w rzędzie, ale mają oddzielne zawieszenia. Zawieszenia te są montowane obrotowo i dodatkowo mają regulowaną wysokość, dzięki czemu Kordelia zawsze zapewnia optymalne oświetlenie. Szkło kloszy jest satynowane i dzięki temu zapewnia przyjemny rozkład światła. Oprócz tego lampa jest zaprojektowana raczej dyskretnie, tak aby można było skoncentrować się na kloszach Pobierz:   Instrukcja obsługi                    (287 KB) ;50
128;  Lindby Sofian lampa wisząca, 3-punktowa, bursztyn ;46;"https://lw-cdn.com/images/55A6FEEBBEFD/k_5562f63327929a868988db4b18111524;w_353;h_353;q_70/lindby-sofian-lampa-wiszaca-3-punktowa-bursztyn.jpg";478,78zł;Lampa wisząca do jadalni Sofian z bursztynowymi kloszami kulistymi ze szkła, 3-punktowa  Sofian przekonuje bardzo przytulnym światłem i nowoczesnym wyglądem ogólnym. Lampa wisząca jest wyposażona w trzy klosze, które wyglądają tak samo i mają bursztynową powierzchnię, która pięknie błyszczy i tworzy szczególnie przytulną atmosferę w pomieszczeniu. Ze względu na bursztynowy kolor, światło bardzo przytulnie i ciepło przenika do otoczenia. Oprawy E27 mogą być wyposażone w dowolne żarówki, można również stosować żarówki posiadające zintegrowaną nowoczesną technologię LED. Istnieją również szczególnie stylowo wyglądające żarówki filamentowe i rustykalne, które przypominają klasyczne żarówki.  Pobierz:   Instrukcja obsługi                    (212 KB) ;50
129;  Lucande Elif lampa stojąca biała cylinder natural ;35;"https://lw-cdn.com/images/A3DCBEDAA788/k_7cc40bb6f1229e057d45a4fb29c42fdd;w_353;h_353;q_70/lucande-elif-lampa-stojaca-biala-cylinder-natural.jpg"; 1522,68zł ;Elegancka lampa stojąca Elif z ręcznie wykonaną kolumną z litego drewna  Szlachetne drewno dębowe, naturalnie barwione i misternie wykonane ręcznie, jest tutaj elegancko i stylowo uzupełnione kloszem z białej tkaniny i połączone w ponadczasową lampę stojącą, która zapewnia przyjemne światło otoczenia. Dzięki białemu kloszowi z chintz, światło świeci przyjemnie miękko i oferuje odpowiednie oświetlenie dla przyjemnych wieczornych godzin.   Dzięki swojemu naturalnemu wzornictwu, lampa stojąca Elif zapewnia również szczególną, kreatywną nutę, która może być zintegrowana z wieloma współczesnymi koncepcjami wyposażenia wnętrz. Czy to w przytulnym domku na wsi, czy w nowocześnie urządzonych, czy też wyposażonych w skandynawskim stylu pokojach dziennych, wysokiej jakości lampa podłogowa wszędzie przyciąga wzrok. Jednocześnie, Elif jest zdecydowanie prosty, bardzo elegancki i bardzo harmonijny dzięki doborowi poszczególnych materiałów. Oprócz klosza z tkaniny i drewnianej kolumny, okrągła stalowa podstawa nie tylko zapewnia wystarczającą stabilność, ale także doskonale dopełnia ogólny wygląd lampy podłogowej Elif dzięki matowemu niklowemu akcentowi kolorystycznemu.  Lampę podłogową można wygodnie i łatwo włączać i wyłączać za pomocą przełącznika, który jest umieszczony bezpośrednio na oprawie. NW ten sposób światło można obsługiwać na przykład z ulubionego fotela bez konieczności wstawania.   Elif to wysokiej jakości lampa stojąca, która jest produkowana w Niemczech. Oprócz stolarki, która jest wykonywana ręcznie, Elif oferuje również klosz wyposażony w specjalną folię trudnopalną. Projekt, funkcja i dobór materiałów - wysokiej jakości obróbka made in Germany.  Pobierz:   Instrukcja obsługi                    (1.3 MB) ;50
130;  Lucande Anjita lampa podłogowa, szklany klosz ;35;"https://lw-cdn.com/images/2DBBC74B49D0/k_3a7550c28a6942560f8fe40e4e71afd4;w_353;h_353;q_70/lucande-anjita-lampa-podlogowa-szklany-klosz.jpg"; 305,61zł ;Wygięta lampa stojąca Anjita ze szklanym kloszem i czarną podstawą  Anjita przekonuje już na pierwszy rzut oka i jest lampą podłogową, która może być wkomponowana zarówno w nowoczesne otoczenie, jak również stosowana tam, gdzie styl vintage dominuje we wnętrzu. Lampa stojąca składa się z przezroczystego, atrakcyjnie ukształtowanego szklanego klosza i zakrzywionej podstawy, która wydaje się dość filigranowa i ostatecznie kończy się okrągłą, stabilną metalową stopą. Dzięki temu uzyskuje się atrakcyjny, a jednocześnie dyskretny wygląd. Szczególnie atrakcyjna jest dobrze widoczna przez szkło oprawa lampy w mieniącym się mosiężnym kolorze, który pięknie kontrastuje kolorystycznie, tworząc trójskładnikowy wygląd, który czyni lampę stojącą czymś wyjątkowym. Żarówki filament z technologią LED są odpowiednimi źródłami światła nie tylko ze względu na swoją wydajność, ale także stylowo uzupełniają ogólny wygląd, ponieważ przypominają stare dobre żarówki tradycyjne.  Pobierz:   Instrukcja obsługi                    (1.7 MB) ;50
131;  Lampa stojąca LED Marija, szlachetne srebro ;35;"https://lw-cdn.com/images/7171CE2E0F5D/k_2812e43fbb86c1d8fa361a1b6811849c;w_353;h_353;q_70/lampa-stojaca-led-marija-szlachetne-srebro.jpg";1051,14zł;Srebrna harmonia kolorów: lampa stojąca LED Marija zapewnia szlachetne oświetlenie  Ta lampa stojąca Marija, będąca lampą bardzo smukłą, to doskonały wybór dla każdego użytkownika będącego miłośnikiem nowoczesnego stylu aranżowania wnętrz. Okrągła podstawa i zakrzywiona metalowa przesłona są płaskie i srebrne, podobnie jak element oświetleniowy. Oba elementy są wygięte w przeciwnych kierunkach, co nadaje temu przedmiotowi miłą dla oka przestrzenną głębię. Dzięki takiemu połączeniu kolorów i kształtów, lampa stojąca LED Marija podkreśla szlachetną atmosferę i nie traci nic ze swojego efektu nawet w stanie wyłączonym. Oczywiście, późnym wieczorem, po zmierzchu wyrafinowany wygląd lampy staje się szczególnie widoczny. Lampa może być ściemniana w trzech stopniach.  Pobierz:   Instrukcja obsługi                    (308 KB) ;50
